pred_num,pred_true_num,score
0,0,0.49939781
1,0,0.49938151
1,1,0.52572985
2,0,0.49936521
2,1,0.52503879
2,2,0.55071237
3,0,0.49934892
3,1,0.52438147
3,2,0.54941402
3,3,0.57444658
4,0,0.49933262
4,1,0.52375542
4,2,0.54817822
4,3,0.57260101
4,4,0.59702381
5,0,0.49931632
5,1,0.52315840
5,2,0.54700048
5,3,0.57084256
5,4,0.59468464
5,5,0.61852672
6,0,0.49930002
6,1,0.52258839
6,2,0.54587676
6,3,0.56916513
6,4,0.59245350
6,5,0.61574187
6,6,0.63903024
7,0,0.49928371
7,1,0.52204355
7,2,0.54480338
7,3,0.56756321
7,4,0.59032304
7,5,0.61308287
7,6,0.63584270
7,7,0.65860253
8,0,0.49926741
8,1,0.52152219
8,2,0.54377697
8,3,0.56603176
8,4,0.58828654
8,5,0.61054132
8,6,0.63279610
8,7,0.65505088
8,8,0.67730566
9,0,0.49925111
9,1,0.52102280
9,2,0.54279449
9,3,0.56456618
9,4,0.58633787
9,5,0.60810956
9,6,0.62988125
9,7,0.65165294
9,8,0.67342464
9,9,0.69519633
10,0,0.49923480
10,1,0.52054396
10,2,0.54185312
10,3,0.56316227
10,4,0.58447143
10,5,0.60578059
10,6,0.62708975
10,7,0.64839890
10,8,0.66970806
10,9,0.69101722
10,10,0.71232638
11,0,0.49921850
11,1,0.52008439
11,2,0.54095029
11,3,0.56181618
11,4,0.58268208
11,5,0.60354798
11,6,0.62441387
11,7,0.64527977
11,8,0.66614566
11,9,0.68701156
11,10,0.70787746
11,11,0.72874335
12,0,0.49920219
12,1,0.51964292
12,2,0.54008364
12,3,0.56052437
12,4,0.58096510
12,5,0.60140582
12,6,0.62184655
12,7,0.64228728
12,8,0.66272800
12,9,0.68316873
12,10,0.70360946
12,11,0.72405019
12,12,0.74449091
13,0,0.49918588
13,1,0.51921844
13,2,0.53925101
13,3,0.55928357
13,4,0.57931614
13,5,0.59934870
13,6,0.61938127
13,7,0.63941383
13,8,0.65944640
13,9,0.67947896
13,10,0.69951153
13,11,0.71954409
13,12,0.73957666
13,13,0.75960922
14,0,0.49916957
14,1,0.51880998
14,2,0.53845039
14,3,0.55809080
14,4,0.57773121
14,5,0.59737162
14,6,0.61701202
14,7,0.63665243
14,8,0.65629284
14,9,0.67593325
14,10,0.69557366
14,11,0.71521407
14,12,0.73485448
14,13,0.75449489
14,14,0.77413530
15,0,0.49915326
15,1,0.51841660
15,2,0.53767993
15,3,0.55694327
15,4,0.57620660
15,5,0.59546994
15,6,0.61473328
15,7,0.63399661
15,8,0.65325995
15,9,0.67252329
15,10,0.69178662
15,11,0.71104996
15,12,0.73031329
15,13,0.74957663
15,14,0.76883997
15,15,0.78810330
16,0,0.49913695
16,1,0.51803744
16,2,0.53693793
16,3,0.55583843
16,4,0.57473892
16,5,0.59363941
16,6,0.61253990
16,7,0.63144040
16,8,0.65034089
16,9,0.66924138
16,10,0.68814187
16,11,0.70704237
16,12,0.72594286
16,13,0.74484335
16,14,0.76374384
16,15,0.78264434
16,16,0.80154483
17,0,0.49912064
17,1,0.51767172
17,2,0.53622281
17,3,0.55477390
17,4,0.57332499
17,5,0.59187607
17,6,0.61042716
17,7,0.62897825
17,8,0.64752934
17,9,0.66608042
17,10,0.68463151
17,11,0.70318260
17,12,0.72173369
17,13,0.74028477
17,14,0.75883586
17,15,0.77738695
17,16,0.79593804
17,17,0.81448912
18,0,0.49910432
18,1,0.51731871
18,2,0.53553310
18,3,0.55374749
18,4,0.57196188
18,5,0.59017626
18,6,0.60839065
18,7,0.62660504
18,8,0.64481943
18,9,0.66303382
18,10,0.68124820
18,11,0.69946259
18,12,0.71767698
18,13,0.73589137
18,14,0.75410576
18,15,0.77232015
18,16,0.79053453
18,17,0.80874892
18,18,0.82696331
19,0,0.49908801
19,1,0.51697772
19,2,0.53486744
19,3,0.55275715
19,4,0.57064686
19,5,0.58853658
19,6,0.60642629
19,7,0.62431601
19,8,0.64220572
19,9,0.66009543
19,10,0.67798515
19,11,0.69587486
19,12,0.71376458
19,13,0.73165429
19,14,0.74954400
19,15,0.76743372
19,16,0.78532343
19,17,0.80321315
19,18,0.82110286
19,19,0.83899257
20,0,0.49907169
20,1,0.51664812
20,2,0.53422456
20,3,0.55180099
20,4,0.56937742
20,5,0.58695385
20,6,0.60453028
20,7,0.62210671
20,8,0.63968315
20,9,0.65725958
20,10,0.67483601
20,11,0.69241244
20,12,0.70998887
20,13,0.72756531
20,14,0.74514174
20,15,0.76271817
20,16,0.78029460
20,17,0.79787103
20,18,0.81544747
20,19,0.83302390
20,20,0.85060033
21,0,0.49905537
21,1,0.51632933
21,2,0.53360328
21,3,0.55087723
21,4,0.56815118
21,5,0.58542514
21,6,0.60269909
21,7,0.61997304
21,8,0.63724700
21,9,0.65452095
21,10,0.67179490
21,11,0.68906885
21,12,0.70634281
21,13,0.72361676
21,14,0.74089071
21,15,0.75816466
21,16,0.77543862
21,17,0.79271257
21,18,0.80998652
21,19,0.82726047
21,20,0.84453443
21,21,0.86180838
22,0,0.49903906
22,1,0.51602078
22,2,0.53300251
22,3,0.54998424
22,4,0.56696596
22,5,0.58394769
22,6,0.60092942
22,7,0.61791114
22,8,0.63489287
22,9,0.65187460
22,10,0.66885633
22,11,0.68583805
22,12,0.70281978
22,13,0.71980151
22,14,0.73678323
22,15,0.75376496
22,16,0.77074669
22,17,0.78772841
22,18,0.80471014
22,19,0.82169187
22,20,0.83867359
22,21,0.85565532
22,22,0.87263705
23,0,0.49902274
23,1,0.51572198
23,2,0.53242122
23,3,0.54912046
23,4,0.56581971
23,5,0.58251895
23,6,0.59921819
23,7,0.61591743
23,8,0.63261667
23,9,0.64931592
23,10,0.66601516
23,11,0.68271440
23,12,0.69941364
23,13,0.71611288
23,14,0.73281213
23,15,0.74951137
23,16,0.76621061
23,17,0.78290985
23,18,0.79960910
23,19,0.81630834
23,20,0.83300758
23,21,0.84970682
23,22,0.86640606
23,23,0.88310531
24,0,0.49900642
24,1,0.51543244
24,2,0.53185846
24,3,0.54828447
24,4,0.56471049
24,5,0.58113651
24,6,0.59756253
24,7,0.61398855
24,8,0.63041457
24,9,0.64684059
24,10,0.66326661
24,11,0.67969263
24,12,0.69611865
24,13,0.71254467
24,14,0.72897068
24,15,0.74539670
24,16,0.76182272
24,17,0.77824874
24,18,0.79467476
24,19,0.81110078
24,20,0.82752680
24,21,0.84395282
24,22,0.86037884
24,23,0.87680486
24,24,0.89323088
25,0,0.49899010
25,1,0.51515171
25,2,0.53131332
25,3,0.54747493
25,4,0.56363654
25,5,0.57979815
25,6,0.59595976
25,7,0.61212136
25,8,0.62828297
25,9,0.64444458
25,10,0.66060619
25,11,0.67676780
25,12,0.69292941
25,13,0.70909102
25,14,0.72525263
25,15,0.74141424
25,16,0.75757585
25,17,0.77373746
25,18,0.78989907
25,19,0.80606068
25,20,0.82222229
25,21,0.83838390
25,22,0.85454551
25,23,0.87070712
25,24,0.88686873
25,25,0.90303034
26,0,0.49897377
26,1,0.51487937
26,2,0.53078496
26,3,0.54669056
26,4,0.56259615
26,5,0.57850175
26,6,0.59440734
26,7,0.61031294
26,8,0.62621853
26,9,0.64212412
26,10,0.65802972
26,11,0.67393531
26,12,0.68984091
26,13,0.70574650
26,14,0.72165210
26,15,0.73755769
26,16,0.75346329
26,17,0.76936888
26,18,0.78527447
26,19,0.80118007
26,20,0.81708566
26,21,0.83299126
26,22,0.84889685
26,23,0.86480245
26,24,0.88070804
26,25,0.89661364
26,26,0.91251923
27,0,0.49895745
27,1,0.51461503
27,2,0.53027261
27,3,0.54593019
27,4,0.56158777
27,5,0.57724535
27,6,0.59290293
27,7,0.60856051
27,8,0.62421809
27,9,0.63987567
27,10,0.65553325
27,11,0.67119083
27,12,0.68684841
27,13,0.70250599
27,14,0.71816357
27,15,0.73382115
27,16,0.74947873
27,17,0.76513631
27,18,0.78079388
27,19,0.79645146
27,20,0.81210904
27,21,0.82776662
27,22,0.84342420
27,23,0.85908178
27,24,0.87473936
27,25,0.89039694
27,26,0.90605452
27,27,0.92171210
28,0,0.49894113
28,1,0.51435832
28,2,0.52977552
28,3,0.54519271
28,4,0.56060991
28,5,0.57602711
28,6,0.59144430
28,7,0.60686150
28,8,0.62227870
28,9,0.63769589
28,10,0.65311309
28,11,0.66853028
28,12,0.68394748
28,13,0.69936468
28,14,0.71478187
28,15,0.73019907
28,16,0.74561626
28,17,0.76103346
28,18,0.77645066
28,19,0.79186785
28,20,0.80728505
28,21,0.82270224
28,22,0.83811944
28,23,0.85353664
28,24,0.86895383
28,25,0.88437103
28,26,0.89978823
28,27,0.91520542
28,28,0.93062262
29,0,0.49892480
29,1,0.51410890
29,2,0.52929300
29,3,0.54447709
29,4,0.55966119
29,5,0.57484529
29,6,0.59002938
29,7,0.60521348
29,8,0.62039758
29,9,0.63558167
29,10,0.65076577
29,11,0.66594987
29,12,0.68113396
29,13,0.69631806
29,14,0.71150216
29,15,0.72668626
29,16,0.74187035
29,17,0.75705445
29,18,0.77223855
29,19,0.78742264
29,20,0.80260674
29,21,0.81779084
29,22,0.83297493
29,23,0.84815903
29,24,0.86334313
29,25,0.87852722
29,26,0.89371132
29,27,0.90889542
29,28,0.92407952
29,29,0.93926361
30,0,0.49890847
30,1,0.51386643
30,2,0.52882439
30,3,0.54378234
30,4,0.55874030
30,5,0.57369825
30,6,0.58865621
30,7,0.60361417
30,8,0.61857212
30,9,0.63353008
30,10,0.64848803
30,11,0.66344599
30,12,0.67840395
30,13,0.69336190
30,14,0.70831986
30,15,0.72327781
30,16,0.73823577
30,17,0.75319373
30,18,0.76815168
30,19,0.78310964
30,20,0.79806759
30,21,0.81302555
30,22,0.82798351
30,23,0.84294146
30,24,0.85789942
30,25,0.87285737
30,26,0.88781533
30,27,0.90277329
30,28,0.91773124
30,29,0.93268920
30,30,0.94764715
31,0,0.49889215
31,1,0.51363061
31,2,0.52836908
31,3,0.54310755
31,4,0.55784601
31,5,0.57258448
31,6,0.58732294
31,7,0.60206141
31,8,0.61679988
31,9,0.63153834
31,10,0.64627681
31,11,0.66101528
31,12,0.67575374
31,13,0.69049221
31,14,0.70523067
31,15,0.71996914
31,16,0.73470761
31,17,0.74944607
31,18,0.76418454
31,19,0.77892301
31,20,0.79366147
31,21,0.80839994
31,22,0.82313840
31,23,0.83787687
31,24,0.85261534
31,25,0.86735380
31,26,0.88209227
31,27,0.89683074
31,28,0.91156920
31,29,0.92630767
31,30,0.94104613
31,31,0.95578460
32,0,0.49887582
32,1,0.51340116
32,2,0.52792650
32,3,0.54245183
32,4,0.55697717
32,5,0.57150251
32,6,0.58602785
32,7,0.60055319
32,8,0.61507853
32,9,0.62960387
32,10,0.64412920
32,11,0.65865454
32,12,0.67317988
32,13,0.68770522
32,14,0.70223056
32,15,0.71675590
32,16,0.73128124
32,17,0.74580657
32,18,0.76033191
32,19,0.77485725
32,20,0.78938259
32,21,0.80390793
32,22,0.81843327
32,23,0.83295861
32,24,0.84748394
32,25,0.86200928
32,26,0.87653462
32,27,0.89105996
32,28,0.90558530
32,29,0.92011064
32,30,0.93463598
32,31,0.94916131
32,32,0.96368665
33,0,0.49885949
33,1,0.51317779
33,2,0.52749609
33,3,0.54181439
33,4,0.55613269
33,5,0.57045099
33,6,0.58476929
33,7,0.59908759
33,8,0.61340589
33,9,0.62772419
33,10,0.64204249
33,11,0.65636079
33,12,0.67067909
33,13,0.68499739
33,14,0.69931569
33,15,0.71363399
33,16,0.72795229
33,17,0.74227059
33,18,0.75658889
33,19,0.77090719
33,20,0.78522550
33,21,0.79954380
33,22,0.81386210
33,23,0.82818040
33,24,0.84249870
33,25,0.85681700
33,26,0.87113530
33,27,0.88545360
33,28,0.89977190
33,29,0.91409020
33,30,0.92840850
33,31,0.94272680
33,32,0.95704510
33,33,0.97136340
34,0,0.49884316
34,1,0.51296025
34,2,0.52707735
34,3,0.54119444
34,4,0.55531153
34,5,0.56942863
34,6,0.58354572
34,7,0.59766282
34,8,0.61177991
34,9,0.62589701
34,10,0.64001410
34,11,0.65413119
34,12,0.66824829
34,13,0.68236538
34,14,0.69648248
34,15,0.71059957
34,16,0.72471666
34,17,0.73883376
34,18,0.75295085
34,19,0.76706795
34,20,0.78118504
34,21,0.79530214
34,22,0.80941923
34,23,0.82353632
34,24,0.83765342
34,25,0.85177051
34,26,0.86588761
34,27,0.88000470
34,28,0.89412179
34,29,0.90823889
34,30,0.92235598
34,31,0.93647308
34,32,0.95059017
34,33,0.96470726
34,34,0.97882436
35,0,0.49882683
35,1,0.51274830
35,2,0.52666978
35,3,0.54059126
35,4,0.55451273
35,5,0.56843421
35,6,0.58235569
35,7,0.59627717
35,8,0.61019864
35,9,0.62412012
35,10,0.63804160
35,11,0.65196307
35,12,0.66588455
35,13,0.67980603
35,14,0.69372751
35,15,0.70764898
35,16,0.72157046
35,17,0.73549194
35,18,0.74941341
35,19,0.76333489
35,20,0.77725637
35,21,0.79117784
35,22,0.80509932
35,23,0.81902080
35,24,0.83294228
35,25,0.84686375
35,26,0.86078523
35,27,0.87470671
35,28,0.88862818
35,29,0.90254966
35,30,0.91647114
35,31,0.93039261
35,32,0.94431409
